serum,virus,replicate,concentration,fraction infectivity
169C,HK19,1,0.003125,0.807368625
169C,HK19,1,0.0015625,1.035467784
169C,HK19,1,0.00078125,1.147246625
169C,HK19,1,0.00039063,1.173055596
239C,HK19,1,0.05,0.04054361
239C,HK19,1,0.025,0.058240625
239C,HK19,1,0.0125,0.195883686
239C,HK19,1,0.00625,0.510366644
239C,HK19,1,0.003125,0.835020361
239C,HK19,1,0.0015625,1.040893676
239C,HK19,1,0.00078125,1.139961431
239C,HK19,1,0.00039063,1.191089252
81C,HK19,1,0.05,0.044139915
81C,HK19,1,0.025,0.04637884
81C,HK19,1,0.0125,0.191465257
81C,HK19,1,0.00625,0.495617044
81C,HK19,1,0.003125,0.82617801
81C,HK19,1,0.0015625,0.994294833
81C,HK19,1,0.00078125,1.063424041
81C,HK19,1,0.00039063,1.164376296
85C,HK19,1,0.05,0.045275591
85C,HK19,1,0.025,0.05065203
85C,HK19,1,0.0125,0.162688822
85C,HK19,1,0.00625,0.461201311
85C,HK19,1,0.003125,0.777506302
85C,HK19,1,0.0015625,1.014801516
85C,HK19,1,0.00078125,1.122391258
85C,HK19,1,0.00039063,1.124306861
135C,HK19,1,0.05,0.043117807
135C,HK19,1,0.025,0.047152435
135C,HK19,1,0.0125,0.137726586
135C,HK19,1,0.00625,0.393703788
135C,HK19,1,0.003125,0.713631957
135C,HK19,1,0.0015625,0.931059246
135C,HK19,1,0.00078125,1.026912363
135C,HK19,1,0.00039063,1.021842905
119C,HK19,1,0.05,0.098198062
119C,HK19,1,0.025,0.314153098
119C,HK19,1,0.0125,0.597016616
119C,HK19,1,0.00625,0.794877658
119C,HK19,1,0.003125,1.074151639
119C,HK19,1,0.0015625,1.114821464
119C,HK19,1,0.00078125,1.157488751
119C,HK19,1,0.00039063,1.127441053
217C,HK19,1,0.05,0.102778619
217C,HK19,1,0.025,0.299491638
217C,HK19,1,0.0125,0.545808157
217C,HK19,1,0.00625,0.713240338
217C,HK19,1,0.003125,1.014582121
217C,HK19,1,0.0015625,1.024416517
217C,HK19,1,0.00078125,1.052624813
217C,HK19,1,0.00039063,1.073870486
207C,HK19,1,0.05,0.118272977
207C,HK19,1,0.025,0.280435635
207C,HK19,1,0.0125,0.601369289
207C,HK19,1,0.00625,0.880874925
207C,HK19,1,0.003125,1.011177201
207C,HK19,1,0.0015625,1.026726831
207C,HK19,1,0.00078125,1.066376851
207C,HK19,1,0.00039063,1.083383258
210C,HK19,1,0.05,0.039121062
210C,HK19,1,0.025,0.045655788
210C,HK19,1,0.0125,0.147986986
210C,HK19,1,0.00625,0.420640356
210C,HK19,1,0.003125,0.839531996
210C,HK19,1,0.0015625,1.095651312
210C,HK19,1,0.00078125,1.286455645
210C,HK19,1,0.00039063,1.00767932
222C,HK19,1,0.05,0.040861534
222C,HK19,1,0.025,0.058844408
222C,HK19,1,0.0125,0.167747859
222C,HK19,1,0.00625,0.516008903
222C,HK19,1,0.003125,0.92032159
222C,HK19,1,0.0015625,1.10155204
222C,HK19,1,0.00078125,1.043119141
222C,HK19,1,0.00039063,1.004629377
219C,HK19,1,0.05,0.068669528
219C,HK19,1,0.025,0.210606938
219C,HK19,1,0.0125,0.536377972
219C,HK19,1,0.00625,0.956510573
219C,HK19,1,0.003125,1.119898904
219C,HK19,1,0.0015625,1.193930679
219C,HK19,1,0.00078125,1.001983426
150C,HK19,1,0.05,0.040505528
150C,HK19,1,0.025,0.054435748
150C,HK19,1,0.0125,0.162837582
150C,HK19,1,0.00625,0.484889992
150C,HK19,1,0.003125,0.909209752
150C,HK19,1,0.0015625,1.085783706
150C,HK19,1,0.00078125,1.029534031
68C,HK19,1,0.05,0.041098871
68C,HK19,1,0.025,0.095346622
68C,HK19,1,0.0125,0.18946486
68C,HK19,1,0.00625,0.558256999
68C,HK19,1,0.003125,0.975357867
68C,HK19,1,0.0015625,1.273169039
68C,HK19,1,0.00078125,1.324765657
