serum,virus,replicate,concentration,fraction infectivity
2388,HK19,1,0.000195313,0.963241906
2388,HK19,1,9.77E-05,0.994827983
2388,HK19,1,4.88E-05,0.992179333
2388,HK19,1,2.44E-05,0.977218273
2388,HK19,2,0.05,0.076115858
2388,HK19,2,0.025,0.036218128
2388,HK19,2,0.0125,0.032539755
2388,HK19,2,0.00625,0.103728542
2388,HK19,2,0.003125,0.306651794
2388,HK19,2,0.0015625,0.613480939
2388,HK19,2,0.00078125,0.860070375
2388,HK19,2,0.000390625,0.908182894
2388,HK19,2,0.000195313,0.974407974
2388,HK19,2,9.77E-05,0.956516742
2388,HK19,2,4.88E-05,1.009562894
2388,HK19,2,2.44E-05,0.955418516
2389,HK19,1,0.05,0.035074188
2389,HK19,1,0.025,-0.012804765
2389,HK19,1,0.0125,0.004596011
2389,HK19,1,0.00625,0.058096731
2389,HK19,1,0.003125,0.219330394
2389,HK19,1,0.0015625,0.54580841
2389,HK19,1,0.00078125,0.82371602
2389,HK19,1,0.000390625,0.917061261
2389,HK19,1,0.000195313,0.939860612
2389,HK19,1,9.77E-05,1.006896023
2389,HK19,1,4.88E-05,1.001974525
2389,HK19,1,2.44E-05,0.980242743
2389,HK19,2,0.05,0.044938803
2389,HK19,2,0.025,-0.007519077
2389,HK19,2,0.0125,-0.006507951
2389,HK19,2,0.00625,0.028027846
2389,HK19,2,0.003125,0.257608753
2389,HK19,2,0.0015625,0.544094277
2389,HK19,2,0.00078125,0.810771391
2389,HK19,2,0.000390625,0.928973069
2389,HK19,2,0.000195313,0.895908273
2389,HK19,2,9.77E-05,1.006934335
2389,HK19,2,4.88E-05,0.986062178
2389,HK19,2,2.44E-05,0.94410621
2462,HK19,1,0.05,0.037468134
2462,HK19,1,0.025,0.038287543
2462,HK19,1,0.0125,0.064999445
2462,HK19,1,0.00625,0.027772655
2462,HK19,1,0.003125,0.140150034
2462,HK19,1,0.0015625,0.387793394
2462,HK19,1,0.00078125,0.760052119
2462,HK19,1,0.000390625,0.842175545
2462,HK19,1,0.000195313,0.965921596
2462,HK19,1,9.77E-05,0.990833179
2462,HK19,1,4.88E-05,0.982635116
2462,HK19,1,2.44E-05,1.006129874
2462,HK19,2,0.05,0.088927534
2462,HK19,2,0.025,0.042112619
2462,HK19,2,0.0125,0.031519367
2462,HK19,2,0.00625,0.038247335
2462,HK19,2,0.003125,0.146158495
2462,HK19,2,0.0015625,0.411725139
2462,HK19,2,0.00078125,0.757115854
2462,HK19,2,0.000390625,0.827883644
2462,HK19,2,0.000195313,0.929840703
2462,HK19,2,9.77E-05,0.964408981
2462,HK19,2,4.88E-05,0.943559525
2462,HK19,2,2.44E-05,0.965791347
2463,HK19,1,0.05,0.044542814
2463,HK19,1,0.025,-3.68E-05
2463,HK19,1,0.0125,0.031112426
2463,HK19,1,0.00625,0.145502158
2463,HK19,1,0.003125,0.424112063
2463,HK19,1,0.0015625,0.65160902
2463,HK19,1,0.00078125,0.871997211
2463,HK19,1,0.000390625,0.975530533
2463,HK19,1,0.000195313,0.950948025
2463,HK19,1,9.77E-05,1.010243088
2463,HK19,1,4.88E-05,0.987128257
2463,HK19,1,2.44E-05,0.987621609
2463,HK19,2,0.05,0.040709049
2463,HK19,2,0.025,-0.000367796
2463,HK19,2,0.0125,0.012874108
2463,HK19,2,0.00625,0.154501531
2463,HK19,2,0.003125,0.380488499
2463,HK19,2,0.0015625,0.672460792
2463,HK19,2,0.00078125,0.905287112
2463,HK19,2,0.000390625,0.938321063
2463,HK19,2,0.000195313,0.95596327
2463,HK19,2,9.77E-05,0.997068102
2463,HK19,2,4.88E-05,1.008636405
2463,HK19,2,2.44E-05,1.027841493
3938,HK19,1,0.1,0.125676648
3938,HK19,1,0.05,0.050151196
3938,HK19,1,0.025,0.045329062
3938,HK19,1,0.0125,0.090634755
3938,HK19,1,0.00625,0.448417641
3938,HK19,1,0.003125,0.711303636
3938,HK19,1,0.0015625,0.892426686
3938,HK19,1,0.00078125,0.967676838
3938,HK19,1,0.000390625,1.031989024
3938,HK19,1,0.000195313,0.996901654
3938,HK19,1,9.77E-05,0.996089065
3938,HK19,1,4.88E-05,1.081527926
3938,HK19,2,0.1,0.131922626
3938,HK19,2,0.05,0.060761464
3938,HK19,2,0.025,0.052827102
3938,HK19,2,0.0125,0.183385362
3938,HK19,2,0.00625,0.507037448
3938,HK19,2,0.003125,0.76311481
3938,HK19,2,0.0015625,0.900300019
3938,HK19,2,0.00078125,0.982464076
3938,HK19,2,0.000390625,1.063544788
3938,HK19,2,0.000195313,0.956936466
3938,HK19,2,9.77E-05,1.001825103
3938,HK19,2,4.88E-05,1.034913882
3944,HK19,1,0.003125,-0.003671878
3944,HK19,1,0.0015625,-0.00954924
3944,HK19,1,0.00078125,-0.004737398
3944,HK19,1,0.000390625,0.064932362
3944,HK19,1,0.000195313,0.296647616
3944,HK19,1,9.77E-05,0.594685859
3944,HK19,1,4.88E-05,0.804571389
3944,HK19,1,2.44E-05,0.923280331
3944,HK19,1,1.22E-05,0.995125826
3944,HK19,1,6.10E-06,0.960348129
3944,HK19,1,3.05E-06,0.983539309
3944,HK19,1,1.53E-06,1.031069809
3944,HK19,2,0.003125,-0.004731801
3944,HK19,2,0.0015625,-0.006578366
3944,HK19,2,0.00078125,0.035649773
3944,HK19,2,0.000390625,0.243322928
3944,HK19,2,0.000195313,0.56156274
3944,HK19,2,9.77E-05,0.7861041
3944,HK19,2,4.88E-05,0.903213499
3944,HK19,2,2.44E-05,0.966598239
3944,HK19,2,1.22E-05,1.043037152
3944,HK19,2,6.10E-06,0.94875544
3944,HK19,2,3.05E-06,0.970016165
3944,HK19,2,1.53E-06,0.992031947
3972,HK19,1,0.1,0.082336397
3972,HK19,1,0.05,0.106005675
3972,HK19,1,0.025,0.033704415
3972,HK19,1,0.0125,0.38727293
3972,HK19,1,0.00625,0.637990966
3972,HK19,1,0.003125,0.83760916
3972,HK19,1,0.0015625,0.874270029
3972,HK19,1,0.00078125,0.88770848
3972,HK19,1,0.000390625,0.918596956
3972,HK19,1,0.000195313,0.973778701
3972,HK19,1,9.77E-05,0.988090399
3972,HK19,1,4.88E-05,1.007570965
3972,HK19,2,0.1,0.127458373
3972,HK19,2,0.05,0.057140605
3972,HK19,2,0.025,0.052245681
3972,HK19,2,0.0125,0.377837215
3972,HK19,2,0.00625,0.639515215
3972,HK19,2,0.003125,0.873976324
3972,HK19,2,0.0015625,0.868706593
3972,HK19,2,0.00078125,0.867092604
3972,HK19,2,0.000390625,0.957625035
3972,HK19,2,0.000195313,0.993886226
3972,HK19,2,9.77E-05,1.010771482
3972,HK19,2,4.88E-05,1.034548905
3973,HK19,1,0.1,0.129048036
3973,HK19,1,0.05,0.058362232
3973,HK19,1,0.025,0.039309021
3973,HK19,1,0.0125,0.115828968
3973,HK19,1,0.00625,0.403851516
3973,HK19,1,0.003125,0.64789443
3973,HK19,1,0.0015625,0.779138957
3973,HK19,1,0.00078125,0.845065191
3973,HK19,1,0.000390625,0.891330245
3973,HK19,1,0.000195313,0.912679774
3973,HK19,1,9.77E-05,0.981993334
3973,HK19,1,4.88E-05,0.983776503
3973,HK19,2,0.1,0.173028716
3973,HK19,2,0.05,0.068253468
3973,HK19,2,0.025,0.032898273
3973,HK19,2,0.0125,0.119803856
3973,HK19,2,0.00625,0.428202316
3973,HK19,2,0.003125,0.671958083
3973,HK19,2,0.0015625,0.78794466
3973,HK19,2,0.00078125,0.842279262
3973,HK19,2,0.000390625,0.959364659
3973,HK19,2,0.000195313,0.977466374
3973,HK19,2,9.77E-05,1.064263068
3973,HK19,2,4.88E-05,1.054547681
3975,HK19,1,0.1,0.095163871
3975,HK19,1,0.05,0.05361129
3975,HK19,1,0.025,0.087476962
3975,HK19,1,0.0125,0.237398623
3975,HK19,1,0.00625,0.473411959
3975,HK19,1,0.003125,0.555472221
3975,HK19,1,0.0015625,0.911815649
3975,HK19,1,0.00078125,0.953100906
3975,HK19,1,0.000390625,0.972524108
3975,HK19,1,0.000195313,1.095359174
3975,HK19,1,9.77E-05,1.076958603
3975,HK19,1,4.88E-05,1.330548437
3975,HK19,2,0.1,0.166454736
3975,HK19,2,0.05,0.080625024
3975,HK19,2,0.025,0.086222948
3975,HK19,2,0.0125,0.248442203
3975,HK19,2,0.00625,0.362018697
3975,HK19,2,0.003125,0.553626031
3975,HK19,2,0.0015625,0.898975826
3975,HK19,2,0.00078125,0.913648501
3975,HK19,2,0.000390625,0.898170825
3975,HK19,2,0.000195313,1.042759263
