serum,virus,replicate,concentration,fraction infectivity
4641,HK19,2,0.00625,0.153484513
4641,HK19,2,0.003125,0.394918018
4641,HK19,2,0.0015625,0.677012872
4641,HK19,2,0.00078125,0.94895826
4641,HK19,2,0.000390625,0.96077395
4641,HK19,2,0.000195313,1.070291086
4641,HK19,2,9.76563E-05,1.040103673
4641,HK19,2,4.88281E-05,1.077040682
4641,HK19,2,2.44141E-05,1.006514893
4641,HK19,2,1.2207E-05,0.945045497
4645,HK19,1,0.1,0.04429601
4645,HK19,1,0.05,0.027652661
4645,HK19,1,0.025,0.019349943
4645,HK19,1,0.0125,0.149342197
4645,HK19,1,0.00625,0.487094554
4645,HK19,1,0.003125,0.669725345
4645,HK19,1,0.0015625,0.861704663
4645,HK19,1,0.00078125,0.956582962
4645,HK19,1,0.000390625,1.094017094
4645,HK19,1,0.000195313,1.101015205
4645,HK19,1,9.76563E-05,1.183966695
4645,HK19,1,4.88281E-05,1.02178979
4645,HK19,2,0.1,0.052482234
4645,HK19,2,0.05,0.033120448
4645,HK19,2,0.025,0.02145778
4645,HK19,2,0.0125,0.114860129
4645,HK19,2,0.00625,0.487825863
4645,HK19,2,0.003125,0.685866822
4645,HK19,2,0.0015625,0.845182302
4645,HK19,2,0.00078125,0.969853427
4645,HK19,2,0.000390625,1.032003563
4645,HK19,2,0.000195313,1.073177454
4645,HK19,2,9.76563E-05,1.199756302
4645,HK19,2,4.88281E-05,1.033033033
4674,HK19,1,0.1,0.036260453
4674,HK19,1,0.05,0.031596639
4674,HK19,1,0.025,0.018548965
4674,HK19,1,0.0125,0.122990048
4674,HK19,1,0.00625,0.472941581
4674,HK19,1,0.003125,0.75723134
4674,HK19,1,0.0015625,0.862260704
4674,HK19,1,0.00078125,0.965927759
4674,HK19,1,0.00039063,1.114207546
4674,HK19,1,0.00019531,1.130047315
4674,HK19,1,0.000097656,1.190059148
4674,HK19,1,0.000048828,1.208312312
4674,HK19,2,0.1,0.042638676
4674,HK19,2,0.05,0.023439776
4674,HK19,2,0.025,0.01564015
4674,HK19,2,0.0125,0.089629348
4674,HK19,2,0.00625,0.49836531
4674,HK19,2,0.003125,0.760442952
4674,HK19,2,0.0015625,0.850424974
4674,HK19,2,0.00078125,0.914296687
4674,HK19,2,0.00039063,1.053381689
4674,HK19,2,0.00019531,1.042307869
4674,HK19,2,0.000097656,1.193968472
4674,HK19,2,0.000048828,0.944576577
3972,H6,1,0.125,0.147806683
3972,H6,1,0.0625,0.239569528
3972,H6,1,0.03125,0.40401556
3972,H6,1,0.015625,0.63270329
3972,H6,1,0.0078125,1.004409738
3972,H6,1,0.00390625,1.281482379
3972,H6,1,0.001953125,1.264703716
3972,H6,1,0.000976563,1.260115607
3972,H6,1,0.000488281,1.223285409
3972,H6,1,0.000244141,1.224851917
3972,H6,1,0.00012207,1.289386358
3972,H6,1,6.10352E-05,1.312107905
3972,H6,2,0.125,0.13148159
3972,H6,2,0.0625,0.25107353
3972,H6,2,0.03125,0.296247961
3972,H6,2,0.015625,0.603694234
3972,H6,2,0.0078125,1.033164906
