serum,virus,replicate,concentration,fraction infectivity
2380,4644_ecuador-19,1,0.0375,0.017303935
2380,4644_ecuador-19,1,0.01875,0.000960331
2380,4644_ecuador-19,1,0.009375,-0.014250263
2380,4644_ecuador-19,1,0.0046875,0.006652068
2380,4644_ecuador-19,1,0.00234375,0.074901779
2380,4644_ecuador-19,1,0.001171875,0.210368025
2380,4644_ecuador-19,1,0.000585938,0.414852083
2380,4644_ecuador-19,1,0.000292969,0.602096834
2380,4644_ecuador-19,1,0.000146484,0.691101852
2380,4644_ecuador-19,1,7.32E-05,0.759564658
2380,4644_ecuador-19,2,0.075,0.038570849
2380,4644_ecuador-19,2,0.0375,0.01459272
2380,4644_ecuador-19,2,0.01875,-0.008458299
2380,4644_ecuador-19,2,0.009375,-0.006316739
2380,4644_ecuador-19,2,0.0046875,0.001652688
2380,4644_ecuador-19,2,0.00234375,0.081787842
2380,4644_ecuador-19,2,0.001171875,0.224693312
2380,4644_ecuador-19,2,0.000585938,0.426001207
2380,4644_ecuador-19,2,0.000292969,0.623271557
2380,4644_ecuador-19,2,0.000146484,0.717750918
2380,4644_ecuador-19,2,7.32E-05,0.745607112
199C,4644_ecuador-19,1,0.1,0.049081969
199C,4644_ecuador-19,1,0.05,0.04433635
199C,4644_ecuador-19,1,0.025,0.092265642
199C,4644_ecuador-19,1,0.0125,0.196157317
199C,4644_ecuador-19,1,0.00625,0.433458662
199C,4644_ecuador-19,1,0.003125,0.608804022
199C,4644_ecuador-19,1,0.0015625,0.685199842
199C,4644_ecuador-19,1,0.00078125,0.772308312
199C,4644_ecuador-19,1,0.000390625,0.832005614
199C,4644_ecuador-19,1,0.000195313,0.78672497
199C,4644_ecuador-19,1,9.77E-05,0.798238691
199C,4644_ecuador-19,2,0.1,0.058735959
199C,4644_ecuador-19,2,0.05,0.02970376
199C,4644_ecuador-19,2,0.025,0.067703332
199C,4644_ecuador-19,2,0.0125,0.215709129
199C,4644_ecuador-19,2,0.00625,0.420402429
199C,4644_ecuador-19,2,0.003125,0.579231972
199C,4644_ecuador-19,2,0.0015625,0.713098536
199C,4644_ecuador-19,2,0.00078125,0.776333266
199C,4644_ecuador-19,2,0.000390625,0.806620712
199C,4644_ecuador-19,2,0.000195313,0.825378491
199C,4644_ecuador-19,2,9.77E-05,0.790013708
2380,4645_south-auck-20,1,0.075,0.047383721
2380,4645_south-auck-20,1,0.0375,0.030469041
2380,4645_south-auck-20,1,0.01875,0.026480079
2380,4645_south-auck-20,1,0.009375,0.094501325
2380,4645_south-auck-20,1,0.0046875,0.328238455
2380,4645_south-auck-20,1,0.00234375,0.564145202
2380,4645_south-auck-20,1,0.001171875,0.696877326
2380,4645_south-auck-20,1,0.000585938,0.844684725
2380,4645_south-auck-20,1,0.000292969,0.873020517
2380,4645_south-auck-20,1,0.000146484,0.933745961
2380,4645_south-auck-20,1,7.32E-05,0.842753885
2380,4645_south-auck-20,2,0.075,0.06083887
2380,4645_south-auck-20,2,0.0375,0.017584796
