serum,virus,replicate,concentration,fraction infectivity
2380,4644_ecuador-19,1,0.0375,0.021691323
2380,4644_ecuador-19,1,0.01875,0.00129948
2380,4644_ecuador-19,1,0.009375,-0.018942423
2380,4644_ecuador-19,1,0.0046875,0.008046781
2380,4644_ecuador-19,1,0.00234375,0.088614554
2380,4644_ecuador-19,1,0.001171875,0.265693723
2380,4644_ecuador-19,1,0.000585938,0.515143942
2380,4644_ecuador-19,1,0.000292969,0.729058377
2380,4644_ecuador-19,1,0.000146484,0.837315074
2380,4644_ecuador-19,1,7.32E-05,0.913884446
2380,4644_ecuador-19,2,0.075,0.042732907
2380,4644_ecuador-19,2,0.0375,0.018292683
2380,4644_ecuador-19,2,0.01875,-0.011445422
2380,4644_ecuador-19,2,0.009375,-0.008396641
2380,4644_ecuador-19,2,0.0046875,0.0019992
2380,4644_ecuador-19,2,0.00234375,0.096761295
2380,4644_ecuador-19,2,0.001171875,0.283786485
2380,4644_ecuador-19,2,0.000585938,0.528988405
2380,4644_ecuador-19,2,0.000292969,0.754698121
2380,4644_ecuador-19,2,0.000146484,0.869602159
2380,4644_ecuador-19,2,7.32E-05,0.897091164
199C,4644_ecuador-19,1,0.1,0.054378249
199C,4644_ecuador-19,1,0.05,0.055577769
199C,4644_ecuador-19,1,0.025,0.12485006
199C,4644_ecuador-19,1,0.0125,0.260745702
199C,4644_ecuador-19,1,0.00625,0.524340264
199C,4644_ecuador-19,1,0.003125,0.720261895
199C,4644_ecuador-19,1,0.0015625,0.865403838
199C,4644_ecuador-19,1,0.00078125,0.959016393
199C,4644_ecuador-19,1,0.000390625,1.007447021
199C,4644_ecuador-19,1,0.000195313,0.953168733
199C,4644_ecuador-19,1,9.77E-05,0.960415834
199C,4644_ecuador-19,2,0.1,0.06507397
199C,4644_ecuador-19,2,0.05,0.037235106
199C,4644_ecuador-19,2,0.025,0.091613355
199C,4644_ecuador-19,2,0.0125,0.286735306
199C,4644_ecuador-19,2,0.00625,0.508546581
199C,4644_ecuador-19,2,0.003125,0.68527589
199C,4644_ecuador-19,2,0.0015625,0.900639744
199C,4644_ecuador-19,2,0.00078125,0.964014394
199C,4644_ecuador-19,2,0.000390625,0.976709316
199C,4644_ecuador-19,2,0.000195313,1
199C,4644_ecuador-19,2,9.77E-05,0.950519792
2380,4645_south-auck-20,1,0.075,0.047383721
2380,4645_south-auck-20,1,0.0375,0.030469041
2380,4645_south-auck-20,1,0.01875,0.026480079
2380,4645_south-auck-20,1,0.009375,0.094501325
2380,4645_south-auck-20,1,0.0046875,0.328238455
2380,4645_south-auck-20,1,0.00234375,0.564145202
2380,4645_south-auck-20,1,0.001171875,0.696877326
